Data;Mês;Ano;Mês(N);Dia da Semana;Aplicativo;Corridas Feitas;Km Rodados;Tempo Online;Valor Bruto;Média Valor/Km;Média Valor/Horas;Combustível;%Combustível/Valor bruto;Manutenção;Bônus/ Missão;Gorjeta;Lucro
17/09/2025;Setembro;2025;9;Quarta-Feira;Uber;2;23,50 Km;01:08:00;R$ 31,12;R$ 1,32;R$ 27,46;R$ 40,04;129%;R$ 15,00;R$ 0,00;R$ 0,00;-R$ 23,92
18/09/2025;Setembro;2025;9;Quinta-Feira;Uber;11;102,26 Km;05:00:00;R$ 180,00;R$ 1,76;R$ 36,00;R$ 121,92;68%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 43,08
19/09/2025;Setembro;2025;9;Sexta-Feira;Uber;5;63,00 Km;02:11:00;R$ 73,65;R$ 1,17;R$ 33,73;R$ 0,00;0%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 58,65
20/09/2025;Setembro;2025;9;Sábado;Uber;7;69,00 Km;02:43:00;R$ 129,50;R$ 1,88;R$ 47,67;R$ 50,00;39%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 64,50
29/09/2025;Setembro;2025;9;Segunda-Feira;Uber;22;134,24 Km;07:22:00;R$ 267,74;R$ 1,99;R$ 36,34;R$ 100,00;37%;R$ 15,00;R$ 80,00;R$ 0,00;R$ 232,74
30/09/2025;Setembro;2025;9;Terça-Feira;Uber;12;112,00 Km;04:39:00;R$ 168,73;R$ 1,51;R$ 36,29;R$ 50,00;30%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 103,73
01/10/2025;Outubro;2025;10;Quarta-Feira;Uber;12;90,00 Km;04:47:00;R$ 161,19;R$ 1,79;R$ 33,70;R$ 86,25;54%;R$ 15,00;R$ 0,00;R$ 1,00;R$ 60,94
03/10/2025;Outubro;2025;10;Sexta-Feira;Uber;22;184,00 Km;07:57:00;R$ 331,84;R$ 1,80;R$ 41,74;R$ 100,00;30%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 216,84
04/10/2025;Outubro;2025;10;Sábado;Uber;3;66,00 Km;01:51:00;R$ 82,45;R$ 1,25;R$ 44,57;R$ 75,91;92%;R$ 15,00;R$ 0,00;R$ 0,00;-R$ 8,46
05/10/2025;Outubro;2025;10;Domingo;Uber;4;39,00 Km;01:16:00;R$ 75,61;R$ 1,94;R$ 59,69;R$ 50,00;66%;R$ 15,00;R$ 500,00;R$ 0,00;R$ 510,61
06/10/2025;Outubro;2025;10;Segunda-Feira;Uber;11;56,00 Km;02:43:00;R$ 119,11;R$ 2,13;R$ 43,84;R$ 0,00;0%;R$ 15,00;R$ 250,00;R$ 0,00;R$ 354,11
07/10/2025;Outubro;2025;10;Terça-Feira;Uber;12;182,00 Km;05:21:00;R$ 219,07;R$ 1,20;R$ 40,95;R$ 100,00;46%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 104,07
08/10/2025;Outubro;2025;10;Quarta-Feira;Uber;13;96,00 Km;04:44:00;R$ 190,65;R$ 1,99;R$ 40,28;R$ 100,00;52%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 75,65
10/10/2025;Outubro;2025;10;Sexta-Feira;Uber;8;60,00 Km;02:38:00;R$ 118,02;R$ 1,97;R$ 44,82;R$ 0,00;0%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 103,02
16/10/2025;Outubro;2025;10;Quinta-Feira;Uber;12;90,00 Km;05:16:00;R$ 176,30;R$ 1,96;R$ 33,47;R$ 100,00;57%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 61,30
